author,viewcount,num,av,max_viewcount,fans
41784,1927014,28,35906684,421468,
10977842,1923562,1,40364131,1923562,
394650021,1911937,8,41216530,1150664,
34028169,1899786,74,35550363,515462,
314804662,1894117,315,39823734,197620,
808171,1891630,10,36118001,239736,
21021196,1886940,7,40083097,1032763,
258582552,1884762,145,36551392,1041792,
30563301,1868364,47,46756450,210426,
356195938,1811492,118,40862760,181693,
43389575,1810609,6,36784160,583500,
21029891,1792063,19,50959530,445015,
84464934,1790208,129,42169043,513589,
170623,1790020,551,42295787,41093,
391653008,1787025,26,41990337,359523,
182440076,1781055,20,39078765,573434,
48488098,1770106,33,51890250,517230,
2655611,1758211,3,39701173,685605,
99064997,1740495,55,45944031,287689,
72198931,1739053,28,35506869,556229,
5896094,1730851,24,37194298,735716,
45082331,1715612,31,47520363,745553,
390822981,1708021,4,39284274,1092201,
21115401,1707538,75,40717719,448546,
52833309,1703904,23,39586330,379495,
13601909,1700700,66,40064949,353983,
315123569,1699571,78,36854710,452869,
35338839,1690895,26,46535165,360228,
396665564,1682364,64,48379144,304835,
5747793,1679799,2,35236954,1677559,
42448991,1678759,3,46724679,1431261,
353407160,1647181,47,51917213,278149,
5905606,1645248,188,37129048,98840,
320534080,1643398,85,38684768,252135,
145683331,1637420,10,35302639,665299,
8602923,1630265,15,44765301,943173,
12116742,1627996,4,35201261,841506,
12571912,1627662,9,35348685,377983,
383615968,1622618,7,36057139,803958,
391741996,1604654,22,39309988,903305,
308071532,1603298,9,36827018,813862,
355900359,1599606,8,41051986,780729,
388574676,1597486,39,45844615,312504,
16897310,1593955,50,39026242,272582,
86739936,1591901,25,40943735,438274,
296392953,1582787,82,37008995,240501,
358495386,1578750,14,36829136,468966,
287797837,1570989,34,36796355,1142250,
318524964,1565284,101,35752175,497441,
10646605,1561250,20,43062472,914455,
348858092,1559881,59,36414829,184305,
910849,1554784,2,37272970,1543654,
129426196,1550699,23,39355702,138597,
5950542,1548065,2,41405140,1487675,
167480122,1538451,21,39450625,501346,
317741765,1526144,9,37006168,801091,
5030600,1522262,36,40479750,159863,
387575659,1517109,21,37232768,300980,
7253429,1512194,44,40439200,883673,
2476955,1511981,6,43746920,875869,
16632036,1508684,63,47280520,291705,
114893668,1504294,1,37297893,1504294,
177153757,1503176,4,41990892,1263214,
21318571,1502758,98,40672351,307031,
35036788,1501601,103,49380021,244944,
89371809,1499594,21,39454797,236557,
39564550,1494720,1,48382383,1494720,
124574179,1494044,5,50125266,472933,
85632622,1491613,38,50483609,317044,
25051817,1479899,15,36445986,932575,
319829493,1475317,24,38257810,756755,
281357743,1472349,35,39341392,821352,
353825852,1470042,5,44557133,862019,
59399800,1458733,51,39026981,346282,
183434269,1457747,1,44216949,1457747,
10314948,1455796,27,37269393,681833,
280519569,1448341,165,48898490,48221,
35285387,1441952,4,35385230,745990,
301018654,1437689,49,45762796,173849,
325190526,1432663,2,38432299,1151174,
395818493,1427801,33,44561520,337549,
43353850,1424003,64,39601806,309208,
398899762,1417339,21,43923080,599386,
352675216,1413202,15,35508575,720263,
38875239,1410680,2,47660708,1041735,
390599114,1404427,5,39118459,1386293,
356337745,1402193,42,38503739,923804,
389624035,1401700,76,40658053,391967,
20165629,1398206,10,36380060,376406,
6723795,1391610,12,40901025,305173,
85355319,1389781,7,43990129,631956,
15405108,1385264,37,49509321,330949,
299565572,1380862,124,40250006,98573,
493612,1376275,15,49331764,333592,
387046754,1375055,31,36071229,1204064,
60403623,1369406,324,35895396,207662,
73273592,1367492,1,35841178,1367492,
15235509,1365798,61,44461442,501995,
34191470,1360992,43,36332465,286419,
16100730,1358835,2,40895448,1358650,
389561796,1351804,1,37602408,1351804,
397550108,1345334,57,48887688,261620,
412075836,1344192,31,48628814,404350,
405491676,1343027,131,46939857,257577,
150532035,1336008,5,36065040,586290,
384898226,1332259,24,41970431,898618,
9426125,1328522,32,39114631,319788,
35137482,1326700,97,45737816,270718,
34883077,1326614,37,38874222,585479,
40375496,1322056,12,35641232,221041,
231076821,1314412,110,37558062,205847,
24138356,1313813,17,38918706,657119,
324910443,1306826,3,50396363,1233637,
253433816,1304468,9,45250845,947439,
9232937,1296445,14,40833557,605610,
264535872,1295856,56,48376307,145464,
258718698,1293492,35,36519244,311613,
18067256,1283797,122,45217759,211865,
13007433,1280636,9,39936029,797953,
158472,1278694,56,43011816,116492,
307942685,1278457,16,37314289,827387,
8011552,1278343,28,47999558,372015,
259648637,1278185,1,39644031,1278185,
217512697,1275087,36,49594100,174867,
265161824,1270340,65,37950582,463344,
85377289,1269436,20,44608406,548691,
6690846,1267641,23,47297377,413046,
226249158,1265845,1,43756392,1265845,
53147578,1265188,2,48710172,1264829,
12556019,1261753,36,37632720,313032,
371606690,1254708,33,38552341,295674,
95347247,1253897,3,47552982,1243025,
24959252,1253416,7,35734191,798243,
394066963,1251710,49,43056984,191132,
159318401,1249656,33,38773155,879572,
13679154,1248742,13,50033766,344390,
16286193,1248026,8,50114830,705295,
11102585,1244735,41,37633695,709536,
248172562,1243073,80,37319927,202844,
236105409,1241615,162,35495731,309116,
268943443,1241380,26,40572831,977434,
109185379,1233828,8,45241539,1015312,
35027477,1233410,2,43326630,1114424,
222897016,1230993,12,44392384,1227599,
398047347,1221160,28,42377414,309312,
97224636,1214527,6,42258374,988408,
17331773,1213385,207,50872897,111926,
389869916,1211394,294,40481560,486510,
25589569,1207058,7,44950272,838510,
5382023,1204257,23,39928984,397453,
393063794,1192456,132,41288569,252411,
302260576,1192442,8,38928608,679361,
33741950,1191911,9,42408700,605991,
2466222,1191358,19,39484966,302832,
358221870,1190826,1,37569467,1190826,
346065614,1176066,11,44684743,586577,
40983561,1167798,17,36732166,432769,
23108927,1163488,108,50633679,131238,
406667540,1163023,11,47652556,334126,
382916513,1162801,55,41771935,690181,
403621727,1161484,821,45045883,89090,
391287974,1155409,265,39702828,278149,
6742329,1145824,55,49308372,322871,
159981442,1145657,56,49165873,282034,
282597310,1140834,2,40390502,1140755,
186308899,1139912,7,51744368,513492,
35395099,1138988,14,42665473,268247,
5078651,1137146,13,37011581,318010,
19247188,1133449,14,51445494,384140,
39886289,1132490,50,36812799,404679,
59758369,1130517,15,44406951,479755,
389869512,1130293,369,39505694,338376,
392863638,1130136,31,39290746,219001,
342243613,1128169,6,45087093,1037770,
141024355,1119869,22,40480905,585781,
7133022,1116168,9,36527984,469163,
384902441,1115647,22,35888435,284090,
222879096,1115061,16,43802873,643289,
297242160,1113339,8,35791534,728533,
13078979,1112212,15,47018657,502874,
239190664,1110309,9,39860200,676922,
384226604,1108348,36,36057536,978736,
23719433,1107519,28,44770311,229172,
360255403,1107511,11,35514362,738660,
37978818,1105750,3,39616062,856665,
18835941,1104097,5,40321353,446814,
16720403,1103388,13,50283202,322096,
18259520,1103296,52,40988127,564476,
23667335,1101093,73,39950843,146382,
370193791,1101090,39,39234412,262442,
53664414,1100986,41,40086796,370244,
276677130,1100810,8,36019779,1005859,
354026915,1097998,104,41663112,291072,
403258516,1094918,48,48703061,392137,
398039411,1089458,77,43858831,311249,
385171565,1089199,14,38005925,364292,
379010827,1087542,66,37137907,579029,
359558341,1086780,61,39768371,247079,
382616673,1084157,190,35790905,46557,
31086256,1082502,8,36191648,872609,
336095269,1076531,6,39892304,1056267,
20423027,1074864,5,50392025,903393,
20578873,1073940,4,38489120,970185,
11401042,1072637,73,48748467,179750,
403033613,1069680,79,44873341,130507,
29541631,1063467,7,41107358,978712,
378883148,1063241,61,44052747,87071,
21677020,1062816,19,50324669,142936,
393864168,1061662,8,40530515,577177,
403806792,1060710,374,48678713,233517,
34994,1057100,1,35338659,1057100,
162967534,1052309,1,37103138,1052309,
380509731,1051155,3,50828511,551869,
343450208,1050759,5,51935620,886117,
400567982,1050192,26,44610546,434288,
