authorid,authorname,sum_pts,num_video,av,hottest_title,max_pt_single_video
14043628,菲林君,1569229.373,117,47878191,【卢本伟/催泪】绿色——我想复播了，但你们不过是反复无常地做着跟风的看客,143160.725
11758387,五月Rambo,1568808.161,39,14510692,【卢本伟】慈善五个亿不是问题！,458103.4812
27501480,怠惰的一休,1562537.582,25,10629529,【白展堂】伤心的人来嗑瓜子,202366.4134
763712,十代冥王,1472829.324,20,21939408,【王境泽】好汉歌,727830.925
8981370,傲视在俗世上,1465432.701,35,17326427,【岳不群】差不多先生,299495.85
21125141,一只桥仔,1461027.1,11,4248058,【全明星】拯救哔哩哔哩的nobody,436991.3
5646546,污污云,1460090.088,54,5928176,【灵魂rap】全明星教你背古诗,488569.025
592761,可樂C,1456165.678,34,30769568,TiK♂ToK,260701.225
3078984,卖大碗茶的,1453613.845,30,10333948,【哲学】纱雾妹妹不可能这么哲学！,174977.5782
27791105,冰柚BeYou,1428576.314,48,5429996,【猫和老鼠】F ! E ! V ! E ! R !,219978.225
14705933,秋空尘,1426286.623,49,4241128,伤心的人来搞bili,162391.7
102885422,点滴菌,1408480.912,15,12012048,【神医RAP】我还治不死你？,940007.975
3792124,十三Mye,1402198.321,27,9505347,【爱情公寓】一口气全念对,940583.5615
1706344,昔日友人,1382881.512,53,7413041,【王司徒】前前前世（你的名字）,198364.7
15027167,史蒂芬王富贵,1382536.792,24,49470985,【鸡你太美】王妃,963100.075
25333161,白熊ONEヽ,1360524.684,29,40185547,【生僻字】元素周期表,569392.6
101376123,秋名山上的486,1354011.67,71,33486860,【面筋哥】老街,153162.1
11938498,逗比宇,1340198.503,21,6272339,【LOL】灵魂Rap，抖腿向,370215.925
2884981,你爸知道吗,1326836.536,56,4585916,【李云龙Rap】Remember the name,308418.6
442520,樗儿,1319998.05,55,20204014,【2018拜年祭单品】上海一夜,139709.575
30405510,烟波江上使人惆,1310848.561,23,7859121,【丞相x司徒】《演员》x《青花瓷》,370142.875
47699114,天真的小马,1309326.075,23,32211476,【B站好声音】这四个人吹出了整个世界！可带劲了,419594.5
7019628,滑音未来,1235464.687,70,2659884,【葛平】核（开）爆（学）神曲aLIEz,256942.85
92916,八月给,1208748.596,29,12008840,【波澜哥】我唱个《Flower Dance》你让我Freestyle？,556352.475
250648682,红豆稀饭中,1202619.339,59,38884670,【六小龄童】Poker Face,217924.1563
515610,埃森棒棒,1199043.873,81,39346643,【六小龄童】That 猴,310841.975
3543159,绝之望的马沙,1188612.34,167,14801937,【坷垃动画】未闻垃名（原曲：Secret Base~你给我的所有~ by Zone）,149545.4
27340452,仙道居士,1187691.463,19,32138401,【岳云鹏】隔壁泰山,421122.575
2283296,小猪P_,1187431.661,67,15515402,【梦想三巨头】病名为爱爱爱爱爱爱爱爱爱,221859.875
326115,大家都叫我M4,1172367.539,62,39147747,【LexBurner】老蕾的床边故事,129692.275
7849299,瘦肉大为,1152423.35,39,41066850,【寒假作业】一口气全写完,661540.85
9090390,大白熊呀大白熊,1128672.65,50,4231542,【全明星】霍元甲,152163.475
5260378,白勺啊达,1124596.225,71,32732783,【底特律：变骚】让洪世贤回家到底有多难,143548.15
8794106,那年的黄昏,1122694.033,30,20137065,终局特异点  冠位哲♂理神殿————比利王,141800.2
3460558,苏叔叔数素数输粟叔叔,1121564.135,31,22661051,【丞相】起风了——悠悠苍天，何薄于我！,537174.05
21401670,缸缸在干嘛,1119020.174,19,40516883,【六小龄童&孙悟空】牵猴戏,223731.9
