author,viewcount,num,av,max_viewcount,fans,tot_num
96233714,2109900,35,48737752,455019,13096,
27423574,2096808,51,48262958,575478,710,
330078883,2096427,1,39079160,2096427,6494,
35167214,2092090,62,39185000,316108,13166,
24931086,2081033,57,48356157,382263,589,
341112049,2063909,82,36303548,449470,2574,
170091540,2060140,266,38434086,67987,5745,
8853065,2059726,75,39606797,89912,172636,
272328566,2058631,354,35551575,52393,25926,
16320818,2054822,9,39478332,1039243,49892,
27432725,2048452,159,39177110,589067,3062,
83403953,2038854,1,47237053,2038854,1304,
14554832,2034680,15,40667086,909852,1435,
25637994,2011140,31,38830690,376588,2147,
12864048,2003393,21,39631131,925142,1803,
410715296,1996708,197,48785894,411238,1579,
34635496,1965288,13,35517199,1328089,2701,
279647664,1961273,22,38236925,1163466,4183,
25827553,1956121,38,46249432,247038,3371,
392059595,1945978,142,38637816,633742,350,
8047632,1944996,1,41778024,1944996,1725240,
2301165,1940368,160,36287509,75408,297958,
429251,1933470,10,47973647,1605123,930060,
10925380,1929660,1,35749659,1929660,3610,
41784,1927014,28,35906684,421468,16692,
10977842,1923562,1,40364131,1923562,16468,
394650021,1911937,8,41216530,1150664,1276,
34028169,1899786,74,35550363,515462,32498,
314804662,1894117,315,39823734,197620,22114,
808171,1891630,10,36118001,239736,2681471,
21021196,1886940,7,40083097,1032763,5251,
258582552,1884762,145,36551392,1041792,58032,
30563301,1868364,47,46756450,210426,2308,
356195938,1811492,118,40862760,181693,839,
43389575,1810609,6,36784160,583500,1623366,
21029891,1792063,19,50959530,445015,3903,
84464934,1790208,129,42169043,513589,652,
170623,1790020,551,42295787,41093,16427,
391653008,1787025,26,41990337,359523,25713,
182440076,1781055,20,39078765,573434,3141,
48488098,1770106,33,51890250,517230,858,
2655611,1758211,3,39701173,685605,2388,
99064997,1740495,55,45944031,287689,717,
72198931,1739053,28,35506869,556229,6746,
5896094,1730851,24,37194298,735716,1422,
45082331,1715612,31,47520363,745553,2530,
390822981,1708021,4,39284274,1092201,502,
21115401,1707538,75,40717719,448546,9223,
52833309,1703904,23,39586330,379495,18964,
13601909,1700700,66,40064949,353983,1283,
315123569,1699571,78,36854710,452869,757,
35338839,1690895,26,46535165,360228,3293,
396665564,1682364,64,48379144,304835,373,
5747793,1679799,2,35236954,1677559,2120,
42448991,1678759,3,46724679,1431261,10973,
353407160,1647181,47,51917213,278149,7991,
5905606,1645248,188,37129048,98840,13628,
320534080,1643398,85,38684768,252135,1626,
145683331,1637420,10,35302639,665299,1966,
8602923,1630265,15,44765301,943173,1831,
12116742,1627996,4,35201261,841506,2394,
12571912,1627662,9,35348685,377983,2224,
383615968,1622618,7,36057139,803958,1079,
391741996,1604654,22,39309988,903305,16876,
308071532,1603298,9,36827018,813862,20939,
355900359,1599606,8,41051986,780729,42112,
388574676,1597486,39,45844615,312504,3723,
16897310,1593955,50,39026242,272582,3245,
86739936,1591901,25,40943735,438274,1021,
296392953,1582787,82,37008995,240501,2681,
358495386,1578750,14,36829136,468966,2251,
287797837,1570989,34,36796355,1142250,932,
318524964,1565284,101,35752175,497441,804,
10646605,1561250,20,43062472,914455,8331,
348858092,1559881,59,36414829,184305,2576,
910849,1554784,2,37272970,1543654,1689,
129426196,1550699,23,39355702,138597,87216,
5950542,1548065,2,41405140,1487675,3845,
167480122,1538451,21,39450625,501346,386,
317741765,1526144,9,37006168,801091,77372,
5030600,1522262,36,40479750,159863,53649,
387575659,1517109,21,37232768,300980,23924,
7253429,1512194,44,40439200,883673,4635,
2476955,1511981,6,43746920,875869,1491,
16632036,1508684,63,47280520,291705,206,
114893668,1504294,1,37297893,1504294,686,
177153757,1503176,4,41990892,1263214,9062,
21318571,1502758,98,40672351,307031,3746,
35036788,1501601,103,49380021,244944,1590,
89371809,1499594,21,39454797,236557,40683,
39564550,1494720,1,48382383,1494720,1877,
124574179,1494044,5,50125266,472933,213712,
85632622,1491613,38,50483609,317044,10243,
25051817,1479899,15,36445986,932575,5057,
319829493,1475317,24,38257810,756755,22499,
281357743,1472349,35,39341392,821352,3681,
353825852,1470042,5,44557133,862019,2798,
59399800,1458733,51,39026981,346282,495,
183434269,1457747,1,44216949,1457747,590,
10314948,1455796,27,37269393,681833,631,
280519569,1448341,165,48898490,48221,10726,
35285387,1441952,4,35385230,745990,88092,
301018654,1437689,49,45762796,173849,375,
325190526,1432663,2,38432299,1151174,2289,
395818493,1427801,33,44561520,337549,854,
43353850,1424003,64,39601806,309208,13622,
398899762,1417339,21,43923080,599386,850,
352675216,1413202,15,35508575,720263,916,
38875239,1410680,2,47660708,1041735,35854,
390599114,1404427,5,39118459,1386293,485,
356337745,1402193,42,38503739,923804,518,
389624035,1401700,76,40658053,391967,570,
20165629,1398206,10,36380060,376406,5157552,
6723795,1391610,12,40901025,305173,7826,
85355319,1389781,7,43990129,631956,455,
15405108,1385264,37,49509321,330949,5135,
299565572,1380862,124,40250006,98573,16645,
493612,1376275,15,49331764,333592,1361,
387046754,1375055,31,36071229,1204064,463,
60403623,1369406,324,35895396,207662,1252,
73273592,1367492,1,35841178,1367492,1759,
15235509,1365798,61,44461442,501995,4291,
34191470,1360992,43,36332465,286419,329,
16100730,1358835,2,40895448,1358650,946,
389561796,1351804,1,37602408,1351804,4108,
397550108,1345334,57,48887688,261620,2899,
412075836,1344192,31,48628814,404350,1033,
405491676,1343027,131,46939857,257577,369,
150532035,1336008,5,36065040,586290,1736,
384898226,1332259,24,41970431,898618,278,
9426125,1328522,32,39114631,319788,2537,
35137482,1326700,97,45737816,270718,566,
34883077,1326614,37,38874222,585479,385,
40375496,1322056,12,35641232,221041,4416,
231076821,1314412,110,37558062,205847,1373,
24138356,1313813,17,38918706,657119,517,
324910443,1306826,3,50396363,1233637,444,
253433816,1304468,9,45250845,947439,5048,
9232937,1296445,14,40833557,605610,85924,
264535872,1295856,56,48376307,145464,3033,
258718698,1293492,35,36519244,311613,258,
18067256,1283797,122,45217759,211865,588,
13007433,1280636,9,39936029,797953,302944,
158472,1278694,56,43011816,116492,39775,
307942685,1278457,16,37314289,827387,552,
8011552,1278343,28,47999558,372015,508423,
259648637,1278185,1,39644031,1278185,7939,
217512697,1275087,36,49594100,174867,414,
265161824,1270340,65,37950582,463344,5071,
85377289,1269436,20,44608406,548691,412,
6690846,1267641,23,47297377,413046,4468,
226249158,1265845,1,43756392,1265845,679,
53147578,1265188,2,48710172,1264829,577,
12556019,1261753,36,37632720,313032,9488,
371606690,1254708,33,38552341,295674,6434,
95347247,1253897,3,47552982,1243025,11029,
24959252,1253416,7,35734191,798243,1489,
394066963,1251710,49,43056984,191132,5054,
159318401,1249656,33,38773155,879572,426,
13679154,1248742,13,50033766,344390,4479,
16286193,1248026,8,50114830,705295,1305,
11102585,1244735,41,37633695,709536,16658,
248172562,1243073,80,37319927,202844,1328,
236105409,1241615,162,35495731,309116,8783,
268943443,1241380,26,40572831,977434,361,
109185379,1233828,8,45241539,1015312,483,
35027477,1233410,2,43326630,1114424,6412,
222897016,1230993,12,44392384,1227599,372,
398047347,1221160,28,42377414,309312,1593,
97224636,1214527,6,42258374,988408,1594,
17331773,1213385,207,50872897,111926,11242,
389869916,1211394,294,40481560,486510,239,
25589569,1207058,7,44950272,838510,8844,
5382023,1204257,23,39928984,397453,100493,
393063794,1192456,132,41288569,252411,3103,
302260576,1192442,8,38928608,679361,241,
33741950,1191911,9,42408700,605991,881,
2466222,1191358,19,39484966,302832,16444,
358221870,1190826,1,37569467,1190826,49851,
346065614,1176066,11,44684743,586577,46930,
40983561,1167798,17,36732166,432769,484,
23108927,1163488,108,50633679,131238,850,
406667540,1163023,11,47652556,334126,6253,
382916513,1162801,55,41771935,690181,311,
403621727,1161484,821,45045883,89090,264,
391287974,1155409,265,39702828,278149,4592,
6742329,1145824,55,49308372,322871,11995,
159981442,1145657,56,49165873,282034,615,
282597310,1140834,2,40390502,1140755,351,
186308899,1139912,7,51744368,513492,136122,
35395099,1138988,14,42665473,268247,31097,
5078651,1137146,13,37011581,318010,508,
19247188,1133449,14,51445494,384140,4271,
39886289,1132490,50,36812799,404679,525,
59758369,1130517,15,44406951,479755,1137,
389869512,1130293,369,39505694,338376,161,
392863638,1130136,31,39290746,219001,280,
342243613,1128169,6,45087093,1037770,768,
141024355,1119869,22,40480905,585781,2665,
7133022,1116168,9,36527984,469163,1331,
384902441,1115647,22,35888435,284090,3643,
222879096,1115061,16,43802873,643289,721,
297242160,1113339,8,35791534,728533,28358,
13078979,1112212,15,47018657,502874,7159,
239190664,1110309,9,39860200,676922,558,
384226604,1108348,36,36057536,978736,6314,
23719433,1107519,28,44770311,229172,56358,
360255403,1107511,11,35514362,738660,1384,
37978818,1105750,3,39616062,856665,584,
18835941,1104097,5,40321353,446814,1603,
16720403,1103388,13,50283202,322096,293264,
18259520,1103296,52,40988127,564476,3320,
23667335,1101093,73,39950843,146382,5493,
370193791,1101090,39,39234412,262442,385,
53664414,1100986,41,40086796,370244,538,
276677130,1100810,8,36019779,1005859,25421,
354026915,1097998,104,41663112,291072,11379,
403258516,1094918,48,48703061,392137,464,
398039411,1089458,77,43858831,311249,508,
385171565,1089199,14,38005925,364292,611,
379010827,1087542,66,37137907,579029,1344,
359558341,1086780,61,39768371,247079,601,
